code_post,year,month,day,heigh,rainy
9403,2008,6,29,75.0,Т
9403,2008,7,29,66.0,_Т
9403,2008,8,29,73.0,А
9403,2008,9,29,70.0,^А
9403,2008,10,29,74.0,^Z
9403,2008,11,29,72.0,_I
9403,2008,12,29,73.0,^I
9403,2008,1,30,78.0,^I
9403,2008,2,30,1.0,
9403,2008,3,30,79.0,I
9403,2008,4,30,82.0,^I
9403,2008,5,30,105.0,
9403,2008,6,30,69.0,Т
9403,2008,7,30,66.0,_Т
9403,2008,8,30,73.0,А
9403,2008,9,30,70.0,^А
9403,2008,10,30,74.0,^Z
9403,2008,11,30,72.0,_I
9403,2008,12,30,73.0,^I
9403,2008,1,31,78.0,^I
9403,2008,2,31,1.0,
9403,2008,3,31,79.0,I
9403,2008,4,31,1.0,
9403,2008,5,31,102.0,
9403,2008,6,31,1.0,
9403,2008,7,31,66.0,_Т
9403,2008,8,31,73.0,А
9403,2008,9,31,1.0,
9403,2008,10,31,74.0,^I
9403,2008,11,31,1.0,
9403,2008,12,31,73.0,^I
9404,2008,1,1,102.0,_I
9404,2008,2,1,108.0,_I
9404,2008,3,1,124.0,_I
9404,2008,4,1,130.0,_I
9404,2008,5,1,140.0,_(
9404,2008,6,1,149.0,^
9404,2008,7,1,101.0,^
9404,2008,8,1,98.0,
9404,2008,9,1,100.0,_
9404,2008,10,1,105.0,^
9404,2008,11,1,97.0,^*)
9404,2008,12,1,93.0,_I
9404,2008,1,2,102.0,_I
9404,2008,2,2,108.0,_I
9404,2008,3,2,125.0,I
9404,2008,4,2,131.0,_I
9404,2008,5,2,142.0,(
9404,2008,6,2,144.0,
9404,2008,7,2,101.0,^
9404,2008,8,2,98.0,
9404,2008,9,2,100.0,_
9404,2008,10,2,105.0,^
9404,2008,11,2,97.0,^*)
9404,2008,12,2,93.0,_I
9404,2008,1,3,102.0,_I
9404,2008,2,3,108.0,_I
9404,2008,3,3,125.0,I
9404,2008,4,3,131.0,I
9404,2008,5,3,150.0,(
9404,2008,6,3,141.0,
9404,2008,7,3,101.0,^
9404,2008,8,3,98.0,
9404,2008,9,3,101.0,_
9404,2008,10,3,105.0,^
9404,2008,11,3,97.0,^*)
9404,2008,12,3,93.0,_I
9404,2008,1,4,102.0,_I
9404,2008,2,4,108.0,_I
9404,2008,3,4,125.0,I
9404,2008,4,4,132.0,I
9404,2008,5,4,165.0,(
9404,2008,6,4,139.0,
9404,2008,7,4,101.0,^
9404,2008,8,4,98.0,
9404,2008,9,4,101.0,
9404,2008,10,4,103.0,
9404,2008,11,4,97.0,^*)
9404,2008,12,4,93.0,_I
9404,2008,1,5,102.0,_I
9404,2008,2,5,108.0,_I
9404,2008,3,5,126.0,I
9404,2008,4,5,132.0,I
9404,2008,5,5,204.0,(
9404,2008,6,5,131.0,
9404,2008,7,5,99.0,
9404,2008,8,5,98.0,
9404,2008,9,5,103.0,
9404,2008,10,5,103.0,
9404,2008,11,5,97.0,^*)
9404,2008,12,5,93.0,_I
9404,2008,1,6,102.0,_I
9404,2008,2,6,108.0,_I
9404,2008,3,6,126.0,I
9404,2008,4,6,132.0,I
9404,2008,5,6,259.0,РП
9404,2008,6,6,126.0,
9404,2008,7,6,99.0,
9404,2008,8,6,98.0,
9404,2008,9,6,105.0,
9404,2008,10,6,103.0,
9404,2008,11,6,97.0,^*)
9404,2008,12,6,93.0,_I
9404,2008,1,7,102.0,_I
9404,2008,2,7,108.0,_I
9404,2008,3,7,126.0,I
9404,2008,4,7,133.0,I
9404,2008,5,7,329.0,РП
9404,2008,6,7,126.0,
9404,2008,7,7,99.0,
9404,2008,8,7,98.0,
9404,2008,9,7,106.0,
9404,2008,10,7,102.0,
9404,2008,11,7,97.0,^Ш*
9404,2008,12,7,94.0,_I
9404,2008,1,8,102.0,_I
9404,2008,2,8,109.0,_I
9404,2008,3,8,127.0,I
9404,2008,4,8,133.0,I
9404,2008,5,8,447.0,ЛР
9404,2008,6,8,126.0,
9404,2008,7,8,97.0,
9404,2008,8,8,98.0,
9404,2008,9,8,108.0,
9404,2008,10,8,101.0,
9404,2008,11,8,97.0,^Z
9404,2008,12,8,94.0,I
9404,2008,1,9,102.0,_I
9404,2008,2,9,109.0,I
9404,2008,3,9,127.0,I
9404,2008,4,9,134.0,I
9404,2008,5,9,645.0,<
9404,2008,6,9,128.0,
9404,2008,7,9,97.0,
9404,2008,8,9,98.0,
9404,2008,9,9,109.0,
9404,2008,10,9,100.0,
9404,2008,11,9,96.0,Z
9404,2008,12,9,94.0,I
9404,2008,1,10,102.0,_I
9404,2008,2,10,109.0,I
9404,2008,3,10,127.0,I
9404,2008,4,10,134.0,I
9404,2008,5,10,654.0,^<Л
9404,2008,6,10,128.0,
9404,2008,7,10,97.0,
9404,2008,8,10,97.0,
9404,2008,9,10,109.0,
9404,2008,10,10,100.0,
9404,2008,11,10,96.0,Z
9404,2008,12,10,95.0,I
9404,2008,1,11,103.0,_I
9404,2008,2,11,111.0,I
9404,2008,3,11,127.0,I
9404,2008,4,11,134.0,I
9404,2008,5,11,487.0,N
9404,2008,6,11,126.0,
9404,2008,7,11,97.0,
9404,2008,8,11,97.0,
9404,2008,9,11,109.0,
9404,2008,10,11,99.0,
9404,2008,11,11,96.0,Z
9404,2008,12,11,95.0,I
9404,2008,1,12,103.0,I
9404,2008,2,12,112.0,I
9404,2008,3,12,127.0,I
9404,2008,4,12,134.0,I
9404,2008,5,12,484.0,N
9404,2008,6,12,123.0,
9404,2008,7,12,97.0,
9404,2008,8,12,97.0,
9404,2008,9,12,109.0,
9404,2008,10,12,99.0,
9404,2008,11,12,96.0,Z
9404,2008,12,12,95.0,I
9404,2008,1,13,104.0,I
9404,2008,2,13,113.0,I
9404,2008,3,13,127.0,I
9404,2008,4,13,134.0,I
9404,2008,5,13,507.0,N
9404,2008,6,13,121.0,
9404,2008,7,13,97.0,
9404,2008,8,13,97.0,
9404,2008,9,13,110.0,
9404,2008,10,13,98.0,
9404,2008,11,13,96.0,Z
9404,2008,12,13,96.0,I
9404,2008,1,14,105.0,I
9404,2008,2,14,116.0,I
9404,2008,3,14,127.0,I
9404,2008,4,14,134.0,I
9404,2008,5,14,537.0,N
9404,2008,6,14,118.0,
9404,2008,7,14,96.0,
9404,2008,8,14,97.0,
9404,2008,9,14,110.0,
9404,2008,10,14,98.0,
9404,2008,11,14,95.0,Z
9404,2008,12,14,96.0,I
9404,2008,1,15,105.0,I
9404,2008,2,15,118.0,I
9404,2008,3,15,127.0,I
9404,2008,4,15,134.0,I
9404,2008,5,15,539.0,N
9404,2008,6,15,116.0,
9404,2008,7,15,96.0,
9404,2008,8,15,96.0,
9404,2008,9,15,110.0,
9404,2008,10,15,98.0,
9404,2008,11,15,95.0,Z
9404,2008,12,15,96.0,I
9404,2008,1,16,106.0,I
9404,2008,2,16,121.0,I
9404,2008,3,16,128.0,I
9404,2008,4,16,135.0,I
9404,2008,5,16,529.0,N
9404,2008,6,16,113.0,
9404,2008,7,16,96.0,
9404,2008,8,16,96.0,
9404,2008,9,16,111.0,
9404,2008,10,16,98.0,
9404,2008,11,16,95.0,I
9404,2008,12,16,96.0,I
9404,2008,1,17,107.0,I
9404,2008,2,17,124.0,I
9404,2008,3,17,128.0,I
9404,2008,4,17,135.0,I
9404,2008,5,17,471.0,
9404,2008,6,17,109.0,
9404,2008,7,17,96.0,
9404,2008,8,17,95.0,
9404,2008,9,17,111.0,
9404,2008,10,17,97.0,_
9404,2008,11,17,95.0,I
9404,2008,12,17,96.0,I
9404,2008,1,18,108.0,I
9404,2008,2,18,124.0,I
9404,2008,3,18,128.0,I
9404,2008,4,18,135.0,I
9404,2008,5,18,418.0,
9404,2008,6,18,109.0,
9404,2008,7,18,95.0,
9404,2008,8,18,95.0,
9404,2008,9,18,111.0,
9404,2008,10,18,97.0,_
9404,2008,11,18,94.0,I
9404,2008,12,18,96.0,I
9404,2008,1,19,109.0,I
9404,2008,2,19,124.0,I
9404,2008,3,19,129.0,I
9404,2008,4,19,135.0,I
9404,2008,5,19,375.0,
9404,2008,6,19,108.0,
9404,2008,7,19,94.0,
9404,2008,8,19,95.0,
9404,2008,9,19,112.0,^
9404,2008,10,19,97.0,_
9404,2008,11,19,94.0,I
9404,2008,12,19,96.0,I
9404,2008,1,20,110.0,I
9404,2008,2,20,124.0,I
9404,2008,3,20,129.0,I
9404,2008,4,20,135.0,I
9404,2008,5,20,336.0,
9404,2008,6,20,107.0,
9404,2008,7,20,93.0,
9404,2008,8,20,94.0,
9404,2008,9,20,112.0,^
9404,2008,10,20,97.0,_
9404,2008,11,20,94.0,I
9404,2008,12,20,96.0,I
9404,2008,1,21,113.0,^I
9404,2008,2,21,124.0,I
9404,2008,3,21,129.0,I
9404,2008,4,21,135.0,I
9404,2008,5,21,297.0,
9404,2008,6,21,107.0,
9404,2008,7,21,93.0,
9404,2008,8,21,88.0,_
9404,2008,9,21,111.0,
9404,2008,10,21,97.0,_*)
9404,2008,11,21,94.0,_I
9404,2008,12,21,96.0,I
9404,2008,1,22,113.0,^I
9404,2008,2,22,124.0,I
9404,2008,3,22,129.0,I
9404,2008,4,22,136.0,I
9404,2008,5,22,277.0,
9404,2008,6,22,106.0,
9404,2008,7,22,93.0,
9404,2008,8,22,90.0,
9404,2008,9,22,109.0,
9404,2008,10,22,97.0,_*)
9404,2008,11,22,93.0,_I
9404,2008,12,22,96.0,I
9404,2008,1,23,113.0,^I
9404,2008,2,23,124.0,I
9404,2008,3,23,129.0,I
9404,2008,4,23,136.0,I
9404,2008,5,23,257.0,
9404,2008,6,23,104.0,
9404,2008,7,23,93.0,
9404,2008,8,23,91.0,
9404,2008,9,23,107.0,
9404,2008,10,23,97.0,_*)
9404,2008,11,23,93.0,_I
9404,2008,12,23,96.0,I
9404,2008,1,24,112.0,I
9404,2008,2,24,124.0,I
9404,2008,3,24,129.0,I
9404,2008,4,24,136.0,I
9404,2008,5,24,205.0,
9404,2008,6,24,104.0,
9404,2008,7,24,93.0,
9404,2008,8,24,92.0,
9404,2008,9,24,105.0,
9404,2008,10,24,97.0,_*)
9404,2008,11,24,93.0,_I
9404,2008,12,24,97.0,I
9404,2008,1,25,111.0,I
9404,2008,2,25,124.0,I
9404,2008,3,25,129.0,I
9404,2008,4,25,137.0,I
